"etsy_listing_id","mensskull_internal_product_id","sku","mapping_status","duplicate_sku_conflicts"
"1788345000","cmraaiguf0056y4w15ix9h6de","SJ321","DUPLICATE_SKU_CONFLICT","SJ321"
"1792490833","cmraak6f2029dy4w15jwx7knq","SB68","MATCHED","UNKNOWN"
"1794905106","cmraaiyo500ray4w1btfr3tgk","SP56","MATCHED","UNKNOWN"
"1795913803","cmraaev0f00ity4fx9g16h6sc","SP229","DUPLICATE_SKU_CONFLICT","SP229"
"1798014796","cmraaipr500gay4w13hpf85eb","SJ176","DUPLICATE_SKU_CONFLICT","SJ176"
"1798035964","cmraaioxz00f8y4w1kiay5r1b","SP236","MATCHED","UNKNOWN"
"1805618761","cmraajbmh0177y4w1k3k3sy02","SB46","MATCHED","UNKNOWN"
"1806551607","cmraaer6p008ey4fxch945qpm","SJ322","MATCHED","UNKNOWN"
"1810073067","cmraaiw8g00o9y4w1uikpdix6","SJ225","MATCHED","UNKNOWN"
"1813113727","cmraajat90168y4w1ovo9szze","SJ07","DUPLICATE_SKU_CONFLICT","SJ07"
"1813612661","cmraainc700d5y4w1bcxd9w1p","SJ323","MATCHED","UNKNOWN"
"1814709473","cmrad1msu039iy4ydxjjpcfcf","SB56","MATCHED","UNKNOWN"
"1815479817","cmraaiih2007cy4w1r3ndsa0v","SP237","MATCHED","UNKNOWN"
"1817872476","cmrad352w053fy4ydkqljxw93","SN54","MATCHED","UNKNOWN"
"1822724358","cmrad2w5u04t0y4ydzxx1yv2e","SP171","MATCHED","UNKNOWN"
"1823952340","cmraajyb501zky4w1fclh54ce","SJ330","MATCHED","UNKNOWN"
"1825081698","cmrad2aag0428y4ydwwozgwb1","ACS06","DUPLICATE_SKU_CONFLICT","ACS06"
"1827467695","cmraajld301jcy4w1cpg5l6hx","SJ155","MATCHED","UNKNOWN"
"1828464173","cmrad3aqx05aey4yd947zuwfd","SN33","MATCHED","UNKNOWN"
"1829235400","cmrad21dt03r2y4ydhp0d7qh2","SP229-2","MATCHED","UNKNOWN"
"1834805146","cmrad1iqx033sy4ydfy2cy3sn","SN55","MATCHED","UNKNOWN"
"1839863477","cmraajole01nby4w11zylxoy3","SJ270","MATCHED","UNKNOWN"
"1840081864","cmraaizgw00s8y4w1js8qr2ns","SN51","MATCHED","UNKNOWN"
"1849040351","cmrad1sgy03gay4ydupk1zpnc","SB124","MATCHED","UNKNOWN"
"1849471197","cmraaj2q000w0y4w1k280ry0e","SB123","MATCHED","UNKNOWN"
